prime,target,condition,primetype,corrAns
hunch,ARROW,low,unrelated,J
sneak,PITCH,low,unrelated,J
widow,HATCH,low,unrelated,J
brief,SHARK,low,unrelated,J
sharp,TOOTH,low,unrelated,J
grief,BOOTH,low,unrelated,J
sting,POUND,low,unrelated,J
thief,WEIGH,low,unrelated,J
avoid,BLANK,low,unrelated,J
award,CRUSH,low,unrelated,J
smack,BENCH,low,unrelated,J
brand,FETCH,low,unrelated,J
salad,CHEEK,low,unrelated,J
brush,BRUSH,low,related,J
march,MARCH,low,related,J
bleed,BLEED,low,related,J
cliff,CLIFF,low,related,J
fraud,FRAUD,low,related,J
cloud,CLOUD,low,related,J
fluid,FLUID,low,related,J
trash,TRASH,low,related,J
flush,FLUSH,low,related,J
porch,PORCH,low,related,J
stiff,STIFF,low,related,J
cough,COUGH,low,related,J
smash,SMASH,low,related,J
chief,BLOOD,high,unrelated,J
child,BUNCH,high,unrelated,J
board,CATCH,high,unrelated,J
tough,STUFF,high,unrelated,J
stand,BREAK,high,unrelated,J
beach,SPEAK,high,unrelated,J
hotel,STICK,high,unrelated,J
angel,SLEEP,high,unrelated,J
truth,WRONG,high,unrelated,J
quick,GRAND,high,unrelated,J
world,MOUTH,high,unrelated,J
extra,KNOCK,high,unrelated,J
think,GUARD,high,unrelated,J
small,SMALL,high,related,J
check,CHECK,high,related,J
watch,WATCH,high,related,J
group,GROUP,high,related,J
month,MONTH,high,related,J
south,SOUTH,high,related,J
lunch,LUNCH,high,related,J
clock,CLOCK,high,related,J
sound,SOUND,high,related,J
drink,DRINK,high,related,J
touch,TOUCH,high,related,J
laugh,LAUGH,high,related,J
black,BLACK,high,related,J
grack,ALKEW,non-word,unrelated,F
furob,AGINK,non-word,unrelated,F
begro,RUZAK,non-word,unrelated,F
labok,SONDO,non-word,unrelated,F
gazzo,GUESH,non-word,unrelated,F
criam,FADIO,non-word,unrelated,F
coreb,PLICH,non-word,unrelated,F
docab,SGREW,non-word,unrelated,F
colob,SCEAK,non-word,unrelated,F
isloo,GHISK,non-word,unrelated,F
ahuck,DEIRM,non-word,unrelated,F
flurb,VILLO,non-word,unrelated,F
pikto,TIDOW,non-word,unrelated,F
aliom,DRICK,non-word,unrelated,F
purso,PHICK,non-word,unrelated,F
borno,NELLO,non-word,unrelated,F
pacaw,FEACH,non-word,unrelated,F
rilth,TELLO,non-word,unrelated,F
caveb,DOLIO,non-word,unrelated,F
swysh,GORGO,non-word,unrelated,F
lanjo,WHILO,non-word,unrelated,F
drief,STANF,non-word,unrelated,F
ocheb,CRULK,non-word,unrelated,F
tunch,PHUMB,non-word,unrelated,F
steaf,SIRTH,non-word,unrelated,F
nohew,SLERK,non-word,unrelated,F
vitbo,VITBO,non-word,related,F
sunch,SUNCH,non-word,related,F
soeth,SOETH,non-word,related,F
eltow,ELTOW,non-word,related,F
framo,FRAMO,non-word,related,F
lumpo,LUMPO,non-word,related,F
spuff,SPUFF,non-word,related,F
gatob,GATOB,non-word,related,F
nosom,NOSOM,non-word,related,F
gezzo,GEZZO,non-word,related,F
afoub,AFOUB,non-word,related,F
wateb,WATEB,non-word,related,F
nelch,NELCH,non-word,related,F
dahoo,DAHOO,non-word,related,F
driek,DRIEK,non-word,related,F
gnask,GNASK,non-word,related,F
brosk,BROSK,non-word,related,F
duvez,DUVEZ,non-word,related,F
fielm,FIELM,non-word,related,F
pumph,PUMPH,non-word,related,F
gerif,GERIF,non-word,related,F
racef,RACEF,non-word,related,F
pheek,PHEEK,non-word,related,F
pruaw,PRUAW,non-word,related,F
guilm,GUILM,non-word,related,F
lairf,LAIRF,non-word,related,F
