"","Word","Length","Freq_KF","Freq_HAL","SUBTLWF","Ortho_N","Phono_N","NSyll","NMorph","I_Mean_RT","I_Zscore","Obs","I_Mean_Accuracy"
"5612","SINAN",5,"#","98","#",2,1,"2","#","#","#","#","#"
"5613","sines",5,"#","116","0.020",19,31,"1","2","#","#","#","#"
"5614","sinks",5,"#","1,313","1.710",14,16,"1","2","#","#","#","#"
"5615","SINKT",5,"#","2","#",1,0,"#","#","#","#","#","#"
"5616","sires",5,"#","59","0.020",13,22,"1","2","#","#","#","#"
"5617","sisal",5,"1","118","0.040",0,3,"2","1","#","#","#","#"
"5618","sitar",5,"#","193","0.250",0,2,"2","#","#","#","#","#"
"5619","sited",5,"#","242","0.060",6,12,"2","2","#","#","#","#"
"5620","SITUS",5,"#","17","0.120",4,3,"2","#","#","#","#","#"
"5621","sixes",5,"#","187","1.220",10,6,"2","2","#","#","#","#"
"5622","skeps",5,"#","5","#",3,6,"1","#","#","#","#","#"
"5623","ski'd",5,"#","1","#",1,0,"#","#","#","#","#","#"
"5624","skied",5,"#","572","0.270",5,11,"1","2","#","#","#","#"
"5625","skiff",5,"9","410","0.730",2,11,"1","1","#","#","#","#"
"5626","SKIIS",5,"#","284","#",6,0,"#","#","#","#","#","#"
"5627","skims",5,"#","53","0.020",10,9,"1","2","#","#","#","#"
"5628","skint",5,"#","24","0.140",4,7,"1","1","#","#","#","#"
"5629","skirl",5,"#","4","0.060",4,10,"1","1","#","#","#","#"
"5630","skive",5,"#","8","0.020",0,2,"1","1","#","#","#","#"
"5631","skuas",5,"#","5","#",0,1,"1","2","#","#","#","#"
"5632","slabs",5,"#","504","0.290",11,7,"1","2","#","#","#","#"
"5633","slags",5,"#","36","0.080",13,9,"1","2","#","#","#","#"
"5634","slams",5,"#","809","2.240",11,7,"1","2","#","#","#","#"
"5635","slaty",5,"#","1","#",2,3,"2","2","#","#","#","#"
"5636","slays",5,"#","79","0.220",13,20,"1","2","#","#","#","#"
"5637","sleds",5,"#","321","0.200",3,1,"1","2","#","#","#","#"
"5638","slews",5,"#","18","0.020",6,16,"1","2","#","#","#","#"
"5639","slims",5,"#","126","0.040",9,7,"1","2","#","#","#","#"
"5640","slobs",5,"#","189","0.900",8,7,"1","2","#","#","#","#"
"5641","sloes",5,"#","7","#",8,19,"1","2","#","#","#","#"
"5642","slogs",5,"#","16","0.020",11,10,"1","2","#","#","#","#"
"5643","slops",5,"#","28","0.160",14,15,"1","2","#","#","#","#"
"5644","slows",5,"#","3,739","1.180",14,19,"1","2","#","#","#","#"
"5645","slunk",5,"1","41","0.120",8,7,"1","1","#","#","#","#"
"5646","slurs",5,"#","445","0.350",7,10,"1","2","#","#","#","#"
"5647","sluts",5,"#","457","1.270",10,10,"1","2","#","#","#","#"
"5648","slyer",5,"#","3","0.020",2,9,"1","2","#","#","#","#"
"5649","slyly",5,"#","246","0.020",1,2,"2","2","#","#","#","#"
"5650","smogs",5,"#","4","#",2,2,"1","2","#","#","#","#"
"5651","smuts",5,"#","90","#",3,3,"1","2","#","#","#","#"
"5652","snaky",5,"#","23","0.040",2,3,"2","2","#","#","#","#"
"5653","snaps",5,"#","927","2.820",6,9,"1","2","#","#","#","#"
"5654","SNEAD",5,"#","144","0.020",4,9,"1","#","#","#","#","#"
"5655","SNEED",5,"#","16","#",5,9,"1","#","#","#","#","0.59"
"5656","snogs",5,"#","1","0.020",6,6,"1","2","#","#","#","0.76"
"5657","snood",5,"#","12","0.060",4,10,"1","#","#","#","#","#"
"5658","snoot",5,"#","29","0.200",7,6,"1","1","#","#","#","#"
"5659","snubs",5,"#","32","0.040",3,4,"1","2","#","#","#","#"
"5660","SNUCK",5,"#","448","4.630",4,9,"1","1","#","#","#","#"
"5661","snugs",5,"#","22","0.020",4,3,"1","#","#","#","#","#"
"5662","soaks",5,"#","175","0.200",3,27,"1","2","#","#","#","#"
"5663","soars",5,"#","163","0.450",9,30,"1","2","#","#","#","#"
"5664","SOCAL",5,"#","332","#",3,0,"#","#","#","#","#","0.74"
