"","Word","Length","Freq_KF","Freq_HAL","SUBTLWF","Ortho_N","Phono_N","NSyll","NMorph","I_Mean_RT","I_Zscore","Obs","I_Mean_Accuracy"
"1","Aaron",5,"7","10,806","14.650",4,5,"2","1","736.062","-0.111","27","0.97"
"2","aback",5,"2","387","0.290",2,3,"2","1","796.267","0.110","26","0.45"
"3","abase",5,"#","30","0.060",3,3,"2","2","803.273","0.029","23","0.69"
"4","abash",5,"#","1","#",2,1,"2","1","748.714","0.229","28","0.68"
"5","abate",5,"#","279","0.100",2,6,"2","1","719.542","-0.092","28","0.71"
"6","abbey",5,"7","2,286","3.180",1,7,"2","1","726.190","-0.103","23","0.66"
"7","abbot",5,"2","616","0.840",0,3,"2","1","808.583","0.207","23","0.71"
"8","abhor",5,"#","383","0.240",0,0,"2","1","786.150","0.125","22","0.57"
"9","abide",5,"7","1,967","2.710",3,3,"2","1","773.212","-0.175","29","0.94"
"10","abode",5,"4","486","0.650",3,2,"2","1","855.833","0.269","24","0.88"
"11","abort",5,"#","2,778","4.610",1,2,"2","1","672.484","-0.409","27","0.97"
"12","about",5,"1,815","1,307,019","3,631.490",1,3,"2","1","628.194","-0.561","28","0.94"
"13","above",5,"296","177,919","48.880",1,1,"2","1","564.333","-0.855","28","0.94"
"14","abuse",5,"18","25,915","10.250",2,2,"2","1","608.688","-0.703","25","0.97"
"15","abyss",5,"4","4,219","1.760",0,3,"2","1","651.440","-0.340","28","0.76"
"16","ached",5,"3","296","0.310",2,8,"1","2","797.036","0.041","27","0.88"
"17","aches",5,"1","419","1.510",3,14,"1","2","683.774","-0.332","22","0.91"
"18","acids",5,"7","2,326","0.820",0,0,"2","2","636.750","-0.420","27","0.91"
"19","acorn",5,"#","8,301","0.730",2,1,"2","1","721.963","-0.237","24","0.79"
"20","acres",5,"44","3,930","4.590",1,0,"2","2","679.030","-0.288","29","0.97"
"21","acrid",5,"1","111","0.040",0,0,"2","1","762.294","0.173","22","0.52"
"22","acted",5,"18","4,894","10.750",2,1,"2","2","652.758","-0.468","25","0.97"
"23","actor",5,"24","10,471","26.330",1,5,"2","2","539.970","-0.831","28","0.97"
"24","acute",5,"13","2,427","2.940",0,1,"2","1","649.529","-0.452","27","1.00"
"25","adage",5,"3","503","0.630",1,3,"2","1","769.846","0.383","16","0.41"
"26","adapt",5,"5","3,389","2.630",2,2,"2","1","660.364","-0.556","27","1.00"
"27","Ada's",5,"4","166","#",1,6,"2","2","926.579","0.397","23","0.56"
"28","added",5,"172","62,085","9.650",2,7,"2","2","644.000","-0.556","27","1.00"
"29","adder",5,"#","351","1.430",5,11,"2","1","732.000","0.179","26","0.49"
"30","addle",5,"#","7","0.160",1,7,"2","1","1,107.125","0.286","21","0.24"
"31","Adele",5,"2","212","#",1,2,"2","1","881.286","0.229","15","0.64"
"32","adept",5,"4","1,754","0.650",2,2,"2","1","759.208","-0.140","26","0.75"
"33","adieu",5,"1","142","1.840",0,1,"2","1","900.136","0.350","24","0.65"
"34","adios",5,"6","494","3.120",0,0,"3","1","746.421","-0.000","24","0.56"
"35","Adlai",5,"7","168","#",0,4,"2","#","1,131.500","0.408","10","0.06"
"36","admit",5,"37","27,202","59.200",1,0,"2","2","574.647","-0.616","27","1.00"
"37","adobe",5,"2","6,956","0.470",1,0,"3","1","770.233","0.068","24","0.94"
"38","Adolf",5,"4","1,324","1.350",0,0,"2","1","815.645","-0.054","24","0.97"
"39","adopt",5,"13","5,702","4.670",2,2,"2","1","614.412","-0.593","27","1.00"
"40","adore",5,"2","1,059","7.730",3,3,"2","1","737.545","-0.359","28","0.97"
"41","adorn",5,"1","121","0.160",2,3,"2","1","732.600","-0.230","28","0.91"
"42","adult",5,"25","25,223","14.290",0,1,"2","1","546.303","-0.788","28","1.00"
"43","affix",5,"1","179","0.120",0,4,"2","2","781.103","-0.023","24","0.83"
"44","afire",5,"1","163","0.490",1,5,"2","1","819.333","0.287","24","0.55"
"45","afoot",5,"1","435","1.020",0,0,"2","1","786.304","0.159","27","0.68"
"46","afoul",5,"#","208","0.220",0,0,"2","1","863.333","-0.092","23","0.19"
"47","after",5,"1,070","414,103","682.590",3,4,"2","1","658.057","-0.580","27","1.00"
"48","again",5,"578","249,680","792.710",1,2,"2","1","577.235","-0.748","26","1.00"
"49","agape",5,"#","244","#",2,0,"2","1","861.294","0.355","22","0.53"
"50","agent",5,"44","22,078","102.650",1,1,"2","2","626.667","-0.597","27","0.97"
"51","Aggie",5,"2","520","2.080",1,4,"2","1","801.750","0.130","24","0.59"
"52","agile",5,"2","631","0.390",0,0,"2","1","661.967","-0.241","25","0.88"
"53","aging",5,"4","2,956","2.570",2,7,"2","2","668.121","-0.455","27","0.97"
"54","aglow",5,"#","54","0.470",1,0,"2","1","709.000","-0.043","28","0.48"
"55","Agnes",5,"1","629","#",1,0,"2","1","827.704","0.129","22","0.82"
"56","agony",5,"9","2,245","3.750",1,0,"3","2","657.879","-0.411","27","0.97"
"57","agree",5,"51","103,383","64.670",0,0,"2","1","589.844","-0.711","27","0.94"
"58","ahead",5,"109","25,862","198.330",1,1,"2","1","722.971","-0.441","26","1.00"
"59","aided",5,"11","1,647","0.650",7,4,"2","2","671.706","-0.393","28","1.00"
"60","aides",5,"4","671","0.630",7,10,"1","2","815.000","-0.126","28","0.85"
"61","aimed",5,"24","7,151","1.940",7,4,"1","2","669.655","-0.436","26","0.94"
"62","ain't",5,"46","20,992","#",0,5,"1","2","673.276","-0.305","27","0.85"
"63","aired",5,"2","3,088","0.880",9,12,"1","2","781.781","-0.146","28","0.91"
"64","aisle",5,"6","1,388","7.430",1,25,"1","1","709.618","-0.229","28","0.97"
"65","Akron",5,"1","3,129","0.750",2,0,"2","1","767.250","-0.063","21","0.62"
"66","Alamo",5,"1","1,525","1.430",1,0,"3","1","750.719","-0.196","28","0.97"
"67","alarm",5,"16","5,599","29.840",0,0,"2","1","612.176","-0.554","27","1.00"
"68","album",5,"6","39,796","10.240",0,0,"2","1","580.500","-0.668","27","0.94"
"69","alert",5,"33","8,982","20.610",1,6,"2","1","582.750","-0.703","26","0.97"
"70","algae",5,"7","2,276","0.430",0,1,"2","2","726.815","-0.031","27","0.82"
"71","alias",5,"1","22,466","4.080",2,1,"2","1","813.355","-0.138","21","0.89"
"72","alibi",5,"8","333","8.350",0,0,"3","1","731.889","-0.066","28","0.79"
"73","Alice",5,"14","5,711","26.510",3,9,"2","1","646.636","-0.462","27","0.97"
"74","alien",5,"16","21,215","17.430",3,1,"2","1","565.212","-0.722","24","1.00"
"75","align",5,"2","1,452","0.670",1,8,"2","2","673.963","-0.362","27","0.84"
"76","alike",5,"20","5,595","11.350",2,4,"2","2","646.065","-0.468","28","0.97"
"77","alive",5,"57","19,998","154.470",4,4,"2","2","603.161","-0.615","26","0.94"
"78","Allah",5,"1","8,033","4.410",3,4,"2","1","779.444","0.093","25","0.84"
"79","Allan",5,"4","4,935","3.610",3,4,"2","1","798.100","0.057","26","0.88"
"80","allay",5,"2","142","0.330",4,14,"2","1","745.357","0.017","15","0.45"
"81","Allen",5,"20","14,718","11.940",6,4,"2","1","699.686","-0.243","25","1.00"
"82","alley",5,"8","3,011","16.290",4,21,"2","1","644.333","-0.525","28","0.88"
"83","allot",5,"1","479","0.160",2,7,"2","1","837.333","0.185","25","0.71"
"84","allow",5,"72","76,957","44.370",3,6,"2","1","591.382","-0.588","27","1.00"
"85","alloy",5,"3","1,454","1.020",4,9,"2","1","698.433","-0.304","24","0.91"
"86","aloes",5,"2","11","0.020",3,14,"2","2","1,082.182","0.426","17","0.33"
"87","aloft",5,"3","282","0.730",0,0,"2","1","719.581","-0.187","26","0.91"
"88","alone",5,"195","51,000","308.530",4,7,"2","1","571.500","-0.727","28","0.94"
"89","along",5,"355","92,602","182.940",2,0,"2","1","592.333","-0.654","27","1.00"
"90","aloof",5,"5","368","0.650",0,0,"2","1","702.154","-0.296","27","0.76"
"91","aloud",5,"13","1,270","1.840",1,6,"2","1","664.531","-0.409","26","0.97"
"92","alpha",5,"6","36,445","8.120",0,4,"2","1","671.618","-0.423","27","1.00"
"93","altar",5,"5","3,404","5.080",2,1,"2","1","592.657","-0.617","28","1.00"
"94","alter",5,"15","7,920","4.780",6,1,"2","1","587.516","-0.606","29","0.94"
"95","amass",5,"2","272","0.060",2,2,"2","2","885.400","0.412","25","0.45"
"96","amaze",5,"3","803","1.610",0,2,"2","1","596.324","-0.696","28","1.00"
"97","amber",5,"3","2,653","9.270",2,3,"2","1","613.000","-0.633","27","1.00"
"98","amble",5,"#","52","0.100",1,2,"2","1","661.871","-0.444","26","0.91"
"99","amend",5,"2","2,300","0.750",1,5,"2","1","745.759","0.010","25","0.85"
"100","amide",5,"1","48","#",2,1,"2","1","888.615","0.054","14","0.38"
"101","amigo",5,"2","1,201","5.080",1,1,"3","1","881.087","0.120","26","0.70"
"102","amino",5,"1","1,624","0.610",1,1,"3","1","876.000","0.411","23","0.72"
"103","amiss",5,"2","385","0.750",2,5,"2","1","679.312","-0.176","26","0.48"
"104","amity",5,"1","121","0.530",0,0,"3","1","817.625","0.117","21","0.53"
"105","among",5,"370","60,232","33.900",1,1,"2","1","670.406","-0.349","27","0.97"
"106","amory",5,"1","156","#",1,3,"3","1","856.950","0.096","15","0.59"
"107","amour",5,"#","151","1.860",0,4,"2","1","857.435","0.125","20","0.70"
"108","ample",5,"16","2,593","1.820",3,2,"2","1","695.281","-0.241","28","0.97"
"109","amply",5,"4","395","0.350",3,0,"2","2","761.760","0.065","23","0.71"
"110","amuck",5,"#","148","0.510",0,1,"2","#","965.333","0.307","23","0.36"
"111","amuse",5,"3","644","2.610",1,3,"2","1","749.364","-0.411","24","0.97"
"112","Andre",5,"3","5,275","6.610",0,1,"2","1","750.258","-0.175","25","0.94"
"113","angel",5,"18","18,184","78.270",2,0,"2","1","636.559","-0.610","24","1.00"
"114","anger",5,"48","8,608","19.430",4,2,"2","1","604.242","-0.588","26","1.00"
"115","Angie",5,"17","1,050","#",3,4,"2","1","675.061","-0.293","26","1.00"
"116","angle",5,"51","10,577","14.920",2,2,"2","1","620.941","-0.613","28","0.97"
"117","angry",5,"45","13,441","58.980",0,0,"2","1","559.970","-0.812","28","0.97"
"118","angst",5,"2","2,000","0.920",0,0,"1","1","689.211","-0.040","22","0.56"
"119","anion",5,"1","69","0.020",4,0,"2","2","781.143","0.001","13","0.42"
"120","Anita",5,"2","1,615","#",1,0,"3","1","736.059","-0.215","27","1.00"
"121","ankle",5,"8","2,699","8.020",1,3,"2","1","637.394","-0.587","25","0.97"
"122","annex",5,"1","1,296","0.840",1,0,"2","1","694.812","-0.309","27","0.94"
"123","Annie",5,"1","2,427","34.690",2,14,"2","2","725.086","-0.304","26","1.00"
"124","annoy",5,"#","3,874","2.510",0,3,"2","1","650.030","-0.478","24","0.97"
"125","Ann's",5,"2","418","#",1,14,"1","2","671.529","-0.453","24","1.00"
"126","annul",5,"#","91","0.510",1,1,"2","2","986.143","0.806","15","0.68"
"127","annum",5,"3","411","0.100",1,4,"2","2","1,120.000","1.526","13","0.18"
"128","anode",5,"77","241","0.160",1,2,"2","1","754.867","0.277","19","0.44"
"129","antic",5,"1","156","0.080",1,0,"2","1","711.636","-0.189","26","0.67"
"130","anvil",5,"1","894","0.630",0,0,"2","1","772.762","-0.093","26","0.64"
"131","aorta",5,"3","3,177","1.530",1,0,"3","2","798.300","0.246","25","0.61"
"132","apart",5,"57","22,038","47.020",0,0,"2","1","617.968","-0.625","27","0.97"
"133","aphid",5,"#","57","0.080",1,1,"2","1","857.667","0.324","15","0.27"
"134","appal",5,"#","9","0.040",0,1,"2","1","979.231","0.797","23","0.41"
"135","apple",5,"9","65,844","23.670",2,4,"2","1","618.531","-0.828","27","0.97"
"136","apply",5,"56","45,131","12.510",3,0,"2","1","615.559","-0.632","28","1.00"
"137","April",5,"71","36,958","20.650",0,1,"2","1","663.719","-0.446","28","0.94"
"138","apron",5,"7","540","2.670",2,1,"2","1","784.125","-0.270","27","0.94"
"139","aptly",5,"4","893","0.390",1,0,"2","2","750.864","0.008","25","0.65"
"140","Arabs",5,"1","3,587","2.120",3,2,"2","2","655.294","-0.406","28","1.00"
"141","arbor",5,"1","3,762","0.760",2,6,"2","1","644.133","-0.381","25","0.91"
"142","ardor",5,"3","120","0.140",2,9,"2","1","745.059","-0.067","17","0.50"
"143","areas",5,"236","59,101","8.940",2,3,"2","2","688.657","-0.360","29","1.00"
"144","arena",5,"7","10,812","3.630",1,1,"3","1","721.406","-0.266","28","1.00"
"145","argon",5,"7","315","0.180",3,1,"2","1","841.968","0.297","22","0.91"
"146","argue",5,"29","20,857","19.750",1,0,"2","1","642.625","-0.583","28","0.97"
"147","Aries",5,"#","1,107","0.270",7,12,"2","1","836.793","0.070","26","0.88"
"148","arise",5,"28","5,031","2.960",3,11,"2","2","652.677","-0.452","28","0.91"
"149","armed",5,"60","12,786","22.820",2,5,"1","2","629.382","-0.553","28","1.00"
"150","armor",5,"4","13,211","7.290",2,10,"2","1","699.645","-0.202","28","0.94"
"151","arm's",5,"3","333","#",1,4,"1","2","661.242","-0.519","27","0.97"
"152","aroma",5,"3","801","1.350",0,0,"3","1","656.312","-0.506","28","0.91"
"153","arose",5,"18","1,896","0.820",2,11,"2","2","635.906","-0.609","25","0.97"
"154","array",5,"11","13,542","2.120",1,10,"2","1","672.419","-0.366","25","0.94"
"155","arrow",5,"14","7,324","7.840",0,8,"2","1","629.188","-0.517","28","0.97"
"156","arson",5,"2","752","3.000",2,2,"2","1","711.355","-0.315","26","0.91"
"157","art's",5,"2","218","#",1,2,"1","2","644.857","-0.487","27","1.00"
"158","Aryan",5,"#","2,179","0.920",1,5,"2","1","817.800","0.174","20","0.78"
"159","ashen",5,"2","718","0.180",3,3,"2","2","704.545","-0.196","26","0.69"
"160","ashes",5,"6","4,878","9.860",4,3,"2","2","593.968","-0.548","28","0.94"
"161","Asian",5,"10","16,780","5.410",0,2,"2","2","619.545","-0.524","27","0.97"
"162","aside",5,"67","17,413","23.760",2,4,"2","1","731.500","-0.366","27","1.00"
"163","asked",5,"398","102,158","216.250",1,2,"1","2","562.935","-0.709","28","0.97"
"164","askew",5,"1","793","0.270",1,0,"2","1","794.526","-0.068","25","0.58"
"165","aspen",5,"2","880","1.880",1,0,"2","1","776.094","-0.110","26","0.91"
"166","assay",5,"1","620","0.160",3,4,"2","1","814.571","0.367","22","0.44"
"167","asses",5,"3","2,105","11.350",5,5,"2","2","763.310","0.063","25","0.83"
"168","asset",5,"5","4,255","3.780",2,1,"2","1","665.800","-0.297","22","0.94"
"169","aster",5,"#","205","0.200",8,9,"2","1","890.944","0.412","25","0.55"
"170","atlas",5,"12","5,318","1.020",0,0,"2","1","650.091","-0.489","27","1.00"
"171","atoll",5,"#","137","0.530",1,1,"2","1","799.714","0.637","25","0.23"
"172","atoms",5,"41","2,332","1.730",0,2,"2","2","624.938","-0.666","28","0.94"
"173","atone",5,"1","202","0.840",4,4,"2","1","768.571","-0.057","26","0.64"
"174","Attic",5,"16","1,401","7.840",2,3,"2","1","716.194","-0.271","28","0.94"
"175","audio",5,"2","34,061","5.570",1,0,"3","1","603.742","-0.609","27","0.94"
"176","audit",5,"4","3,286","1.120",1,2,"2","2","679.438","-0.324","25","0.94"
"177","auger",5,"#","202","0.220",8,4,"2","1","655.143","-0.205","23","0.20"
"178","aught",5,"#","114","0.350",1,20,"1","1","832.562","0.503","25","0.48"
"179","aunts",5,"4","429","1.550",4,3,"1","2","645.406","-0.451","27","0.94"
"180","aural",5,"1","505","0.080",3,2,"2","1","873.462","0.273","17","0.41"
"181","autos",5,"4","1,036","0.080",1,0,"2","2","681.182","-0.478","27","1.00"
"182","avail",5,"4","14,304","0.840",0,1,"2","2","810.156","-0.046","25","0.94"
"183","avert",5,"1","1,146","0.590",4,6,"2","1","668.846","-0.291","28","0.79"
"184","avoid",5,"58","45,327","24.290",1,4,"2","1","594.000","-0.571","28","1.00"
"185","await",5,"9","1,682","3.550",0,3,"2","2","670.412","-0.451","28","0.97"
"186","awake",5,"20","3,506","26.710",3,3,"2","2","576.853","-0.694","27","1.00"
"187","award",5,"46","15,755","12.880",2,5,"2","1","679.677","-0.444","26","0.97"
"188","aware",5,"84","37,088","35.650",3,5,"2","1","622.545","-0.641","28","0.97"
"189","awash",5,"1","265","0.310",2,4,"2","1","786.263","0.155","24","0.56"
"190","awful",5,"17","8,797","63.410",0,3,"2","2","642.094","-0.533","27","0.97"
"191","awoke",5,"9","1,078","1.310",1,1,"2","2","703.576","-0.273","27","0.97"
"192","axial",5,"2","285","0.140",0,1,"2","2","719.458","-0.215","19","0.75"
"193","axiom",5,"1","1,277","0.140",0,1,"2","1","726.400","0.116","23","0.59"
"194","axles",5,"1","708","0.060",0,1,"2","2","795.633","0.007","26","0.94"
"195","azure",5,"#","2,258","0.290",0,0,"2","1","851.185","0.266","18","0.79"
"196","babes",5,"3","1,334","3.470",7,10,"1","2","624.800","-0.710","28","0.94"
"197","backs",5,"15","4,792","7.840",15,41,"1","2","617.273","-0.562","27","0.94"
"198","bacon",5,"10","3,147","11.860",3,5,"2","1","693.559","-0.380","26","1.00"
"199","badge",5,"5","2,039","15.250",4,16,"1","1","588.300","-0.595","28","0.86"
"200","badly",5,"34","11,077","26.200",4,3,"2","2","659.667","-0.471","27","1.00"
"201","baggy",5,"4","478","0.940",3,15,"2","2","714.625","-0.299","28","0.97"
"202","bairn",5,"#","6","0.240",2,16,"1","1","879.167","0.436","8","0.18"
"203","baked",5,"8","1,780","6.690",13,14,"1","2","597.875","-0.680","28","0.94"
"204","baker",5,"36","12,645","13.690",8,15,"2","2","604.188","-0.623","24","1.00"
"205","bakes",5,"1","72","0.530",18,29,"1","2","758.214","-0.250","28","0.82"
"206","baldy",5,"1","164","1.100",4,1,"2","2","733.774","-0.309","23","0.94"
"207","bales",5,"4","477","0.180",18,45,"1","2","735.400","-0.043","24","0.62"
"208","balks",5,"1","96","0.020",12,23,"1","2","687.667","-0.055","28","0.55"
"209","balls",5,"17","13,293","40.160",17,33,"1","2","653.576","-0.489","27","1.00"
"210","balmy",5,"#","164","0.570",5,18,"2","2","787.600","0.184","26","0.62"
"211","Bambi",5,"1","707","#",1,1,"2","1","755.588","-0.247","26","1.00"
"212","banal",5,"2","436","0.270",1,0,"2","1","731.700","-0.216","15","0.29"
"213","bands",5,"11","17,342","5.370",14,12,"1","2","656.333","-0.482","28","1.00"
"214","bangs",5,"6","826","1.800",9,14,"1","2","633.516","-0.639","26","0.94"
"215","banjo",5,"2","1,022","1.630",0,3,"2","1","790.500","0.031","27","0.91"
"216","banks",5,"37","13,353","15.900",13,12,"1","2","575.677","-0.761","28","0.94"
"217","barbs",5,"2","469","0.240",5,9,"1","2","715.615","-0.241","28","0.74"
"218","bards",5,"2","255","0.020",11,16,"1","2","762.143","-0.015","27","0.62"
"219","barge",5,"7","3,041","3.880",5,14,"1","1","787.172","-0.009","27","0.85"
"220","barns",5,"4","323","0.410",12,10,"1","2","672.758","-0.467","27","0.97"
"221","baron",5,"2","2,933","13.470",6,6,"2","1","765.607","-0.160","23","0.85"
"222","Barry",5,"3","20,538","19.860",10,21,"2","1","692.355","-0.240","27","0.94"
"223","based",5,"119","131,502","26.610",11,25,"1","2","649.097","-0.572","26","0.97"
"224","baser",5,"1","78","0.140",8,12,"2","2","630.667","-0.416","17","0.10"
"225","bases",5,"23","7,108","3.570",16,17,"2","2","596.656","-0.563","27","1.00"
"226","basic",5,"171","73,227","15.570",4,2,"2","2","585.515","-0.628","26","1.00"
"227","basil",5,"1","1,883","1.350",5,5,"2","1","631.909","-0.420","26","0.97"
"228","basin",5,"7","2,140","1.880",5,10,"2","1","682.931","-0.364","26","0.88"
"229","basis",5,"184","48,314","11.940",8,4,"2","2","674.303","-0.284","28","0.97"
"230","baste",5,"#","127","0.350",6,25,"1","1","818.368","0.037","21","0.58"
"231","batch",5,"5","10,263","4.160",11,28,"1","1","716.875","-0.381","28","0.94"
"232","bathe",5,"4","670","2.510",3,15,"1","1","800.296","-0.166","27","0.84"
"233","baths",5,"5","1,084","3.160",7,7,"1","2","605.152","-0.661","26","1.00"
"234","baton",5,"10","1,688","2.840",4,1,"2","1","734.348","-0.127","27","0.70"
"235","bawdy",5,"3","106","0.180",3,13,"2","2","907.444","0.250","23","0.30"
"236","bayed",5,"3","1","#",7,48,"1","2","712.684","0.068","26","0.59"
"237","bayou",5,"2","3,442","1.330",0,14,"2","1","761.600","-0.056","23","0.71"
"238","beach",5,"61","26,666","56.630",7,26,"1","1","649.529","-0.489","25","1.00"
"239","beads",5,"4","2,210","3.530",12,28,"1","2","714.939","-0.281","26","0.97"
"240","beady",5,"1","82","0.710",4,21,"2","2","799.130","-0.026","27","0.68"
"241","beall",5,"2","77","#",1,1,"2","1","763.500","0.303","15","0.06"
"242","beams",5,"13","1,990","2.690",9,18,"1","2","695.161","-0.300","26","0.91"
"243","beans",5,"9","4,851","14.430",11,30,"1","2","556.226","-0.718","25","0.97"
"244","beard",5,"26","3,173","12.610",4,25,"1","1","575.355","-0.605","26","0.91"
"245","bears",5,"26","8,356","11.390",20,45,"1","2","673.909","-0.571","28","0.97"
"246","beast",5,"7","16,393","24.550",6,18,"1","1","622.206","-0.637","24","0.97"
"247","beats",5,"4","6,306","15.040",17,29,"1","2","641.677","-0.537","25","0.94"
"248","beaut",5,"#","180","1.290",2,3,"1","#","887.250","0.332","11","0.14"
"249","bebop",5,"1","266","0.410",0,0,"2","2","1,039.706","0.608","25","0.52"
"250","beech",5,"6","509","0.350",4,26,"1","1","827.286","0.116","24","0.62"
"251","beefy",5,"1","261","0.310",2,7,"2","2","834.059","0.092","20","1.00"
"252","beeps",5,"3","1,160","3.000",10,19,"1","2","616.778","-0.673","27","0.97"
"253","beers",5,"1","4,093","10.750",13,40,"1","2","637.548","-0.609","25","0.97"
"254","bee's",5,"1","121","#",7,58,"1","2","656.097","-0.394","22","0.94"
"255","beets",5,"2","157","1.020",9,29,"1","2","629.233","-0.430","26","0.88"
"256","befit",5,"#","40","#",1,1,"2","2","840.067","0.175","25","0.45"
"257","began",5,"312","40,481","32.510",8,5,"2","1","660.485","-0.369","27","1.00"
"258","beget",5,"1","85","0.310",5,5,"2","2","854.455","0.355","20","0.67"
"259","begin",5,"84","60,828","56.980",4,3,"2","1","542.412","-0.829","22","1.00"
"260","begun",5,"51","7,341","10.550",4,3,"2","1","753.750","-0.216","28","0.91"
"261","beige",5,"1","1,329","1.350",1,14,"1","1","676.968","-0.335","23","0.94"
"262","being",5,"712","362,268","485.900",1,15,"2","2","567.212","-0.799","26","0.97"
"263","belch",5,"2","283","0.730",4,8,"1","1","815.897","-0.023","27","0.83"
"264","belle",5,"1","2,288","8.100",9,45,"1","1","716.296","-0.311","25","0.87"
"265","bells",5,"8","2,899","13.160",16,37,"1","2","622.471","-0.569","26","1.00"
"266","belly",5,"23","5,986","15.570",12,32,"2","1","559.941","-0.694","28","1.00"
"267","below",5,"145","90,658","28.040",0,16,"2","1","595.594","-0.640","28","0.97"
"268","belts",5,"8","2,336","4.980",11,11,"1","2","651.121","-0.582","27","1.00"
"269","bench",5,"35","5,360","9.670",6,10,"1","1","563.848","-0.652","27","1.00"
"270","bends",5,"2","1,134","1.510",12,11,"1","2","670.484","-0.526","28","0.94"
"271","Ben's",5,"1","498","#",5,38,"1","2","586.097","-0.688","27","0.97"
"272","beret",5,"#","436","0.940",4,2,"2","1","767.286","-0.035","24","0.62"
"273","berry",5,"9","2,897","3.490",11,39,"2","1","584.455","-0.663","28","1.00"
"274","berth",5,"4","393","0.780",3,28,"1","1","691.000","-0.088","26","0.35"
"275","beset",5,"7","252","0.270",4,2,"2","2","843.190","0.065","26","0.66"
"276","Betty",5,"3","3,316","24.430",5,24,"2","2","567.182","-0.716","28","1.00"
"277","bevel",5,"2","176","0.080",3,5,"2","1","832.538","0.545","19","0.38"
"278","Bible",5,"59","24,550","18.330",0,6,"2","1","547.206","-0.684","27","1.00"
"279","bicep",5,"1","155","0.310",0,0,"#","#","738.036","-0.043","28","0.82"
"280","bidet",5,"#","40","0.350",0,6,"2","1","871.167","0.173","12","0.18"
"281","bigot",5,"#","2,055","0.610",2,5,"2","1","704.000","-0.087","26","0.88"
"282","bijou",5,"#","110","1.820",0,0,"2","1","927.500","0.775","15","0.24"
"283","bilge",5,"2","323","1.100",3,14,"1","1","755.067","0.068","18","0.45"
"284","bills",5,"47","10,428","21.490",16,40,"1","2","653.771","-0.547","26","1.00"
"285","Billy",5,"26","10,729","69.120",11,43,"2","2","648.219","-0.522","26","0.97"
"286","binds",5,"2","820","0.750",11,12,"1","2","724.484","-0.055","25","0.94"
"287","binge",5,"1","291","0.920",5,6,"1","1","741.485","-0.231","27","0.97"
"288","bingo",5,"#","1,469","12.550",5,4,"2","1","567.515","-0.759","26","1.00"
"289","biped",5,"#","70","0.200",3,0,"2","2","843.000","0.840","17","0.21"
"290","birch",5,"2","1,373","1.550",3,29,"1","1","843.207","0.027","27","0.85"
"291","birds",5,"57","14,487","25.880",4,21,"1","2","559.303","-0.769","28","1.00"
"292","birth",5,"66","23,367","27.550",6,28,"1","1","590.812","-0.625","27","0.97"
"293","bison",5,"1","1,083","0.330",0,3,"2","1","820.710","0.015","24","0.91"
"294","bitch",5,"6","9,406","168.800",11,29,"1","1","646.250","-0.515","27","1.00"
"295","biter",5,"1","109","0.570",4,19,"2","2","879.444","0.217","18","0.56"
"296","bites",5,"8","2,886","5.490",10,32,"1","2","660.879","-0.526","28","1.00"
"297","black",5,"203","160,756","167.940",5,14,"1","1","658.029","-0.490","26","1.00"
"298","blade",5,"13","9,592","13.000",6,16,"1","1","542.931","-0.613","27","0.94"
"299","blame",5,"34","17,326","58.780",8,10,"1","1","546.314","-0.835","25","1.00"
"300","bland",5,"3","1,678","1.080",8,10,"1","1","653.133","-0.343","26","0.91"
"301","blank",5,"14","15,240","9.710",7,4,"1","1","533.031","-0.874","28","0.97"
"302","blare",5,"#","48","0.390",8,8,"1","1","855.731","-0.190","27","0.79"
"303","blase",5,"#","150","0.020",6,0,"2","1","794.846","0.101","9","0.39"
"304","blast",5,"15","18,943","16.180",4,3,"1","1","598.086","-0.669","27","1.00"
"305","blaze",5,"7","4,591","2.100",7,19,"1","1","584.618","-0.738","28","0.97"
"306","bleak",5,"10","723","1.080",2,12,"1","1","701.833","-0.350","24","0.77"
"307","bleat",5,"1","128","0.120",6,12,"1","1","770.391","0.148","25","0.70"
"308","bleed",5,"2","2,526","10.100",4,12,"1","1","627.394","-0.549","28","1.00"
"309","bleep",5,"#","128","2.670",2,6,"1","1","701.286","-0.215","28","0.88"
"310","blend",5,"9","3,255","4.270",5,7,"1","1","594.882","-0.648","27","1.00"
"311","blent",5,"#","1","#",4,4,"1","1","624.800","-0.712","24","0.29"
"312","bless",5,"9","3,927","35.060",3,5,"1","1","595.818","-0.733","26","0.97"
"313","blest",5,"3","30","0.100",5,4,"1","2","1,059.000","1.259","23","0.30"
"314","blimp",5,"1","317","1.040",0,0,"1","1","728.448","-0.114","27","0.91"
"315","blind",5,"47","13,559","45.820",4,5,"1","1","537.371","-0.744","26","1.00"
"316","blink",5,"4","2,056","5.060",5,4,"1","1","557.571","-0.765","28","1.00"
"317","blips",5,"1","103","0.100",4,6,"1","2","846.211","0.112","26","0.58"
"318","bliss",5,"4","2,218","3.140",2,4,"1","1","627.688","-0.683","27","0.94"
"319","blitz",5,"3","1,456","1.250",1,9,"1","1","695.485","-0.268","27","1.00"
"320","bloat",5,"8","564","0.510",3,10,"1","1","679.226","-0.348","27","0.94"
"321","block",5,"66","33,257","40.530",5,13,"1","1","549.485","-0.889","28","0.97"
