prime,target,condition,primetype,corrAns
ehert,FINGO,non-word,unrelated,F
spuck,GOTCH,non-word,unrelated,F
antuc,SPUFF,non-word,unrelated,F
shish,SCHEW,non-word,unrelated,F
gijou,HUMOT,non-word,unrelated,F
drarp,SGREW,non-word,unrelated,F
stilp,FADIO,non-word,unrelated,F
doint,PLINT,non-word,unrelated,F
owlut,PHEEK,non-word,unrelated,F
swant,BLASM,non-word,unrelated,F
vepot,REASH,non-word,unrelated,F
ploic,CHANK,non-word,unrelated,F
glick,SEPTH,non-word,unrelated,F
hatex,FEETH,non-word,unrelated,F
framo,TOSIT,non-word,unrelated,F
praft,EXUCT,non-word,unrelated,F
minch,ETHYM,non-word,unrelated,F
ragic,FEGHT,non-word,unrelated,F
stabt,STOFF,non-word,unrelated,F
cruck,CRUCK,non-word,related,F
fatho,FATHO,non-word,related,F
firsh,FIRSH,non-word,related,F
paltz,PALTZ,non-word,related,F
thark,THARK,non-word,related,F
aufit,AUFIT,non-word,related,F
hinup,HINUP,non-word,related,F
jongo,JONGO,non-word,related,F
guast,GUAST,non-word,related,F
sunch,SUNCH,non-word,related,F
cleak,CLEAK,non-word,related,F
stram,STRAM,non-word,related,F
etuip,ETUIP,non-word,related,F
opert,OPERT,non-word,related,F
keach,KEACH,non-word,related,F
umarm,UMARM,non-word,related,F
tooch,TOOCH,non-word,related,F
chuth,CHUTH,non-word,related,F
tedic,TEDIC,non-word,related,F
mutch,MUTCH,non-word,related,F
hilth,HILTH,non-word,related,F
pluff,PLUFF,non-word,related,F
widet,WIDET,non-word,related,F
scook,SCOOK,non-word,related,F
fisco,FISCO,non-word,related,F
gamit,GAMIT,non-word,related,F
phasm,PHASM,non-word,related,F
sondo,SONDO,non-word,related,F
vuint,VUINT,non-word,related,F
rynic,RYNIC,non-word,related,F
waget,WAGET,non-word,related,F
vooch,VOOCH,non-word,related,F
guilm,GUILM,non-word,related,F
elsom,ELSOM,non-word,related,F
crost,CROST,non-word,related,F
alept,ALEPT,non-word,related,F
robit,ROBIT,non-word,related,F
noast,NOAST,non-word,related,F
bealm,BEALM,non-word,related,F
hyrup,HYRUP,non-word,related,F
chost,CHOST,non-word,related,F
borif,BORIF,non-word,related,F
starp,STARP,non-word,related,F
valif,VALIF,non-word,related,F
raceb,RACEB,non-word,related,F
dacit,DACIT,non-word,related,F
abert,ABERT,non-word,related,F
paith,PAITH,non-word,related,F
mough,MOUGH,non-word,related,F
plick,PLICK,non-word,related,F
toost,TOOST,non-word,related,F
tacao,TACAO,non-word,related,F
kneak,KNEAK,non-word,related,F
vitch,VITCH,non-word,related,F
paxim,PAXIM,non-word,related,F
kingo,KINGO,non-word,related,F
truff,TRUFF,non-word,related,F
fundt,FUNDT,non-word,related,F
bloam,BLOAM,non-word,related,F
quilp,QUILP,non-word,related,F
fotch,FOTCH,non-word,related,F
broup,BROUP,non-word,related,F
krauf,KRAUF,non-word,related,F
swaft,SWAFT,non-word,related,F
adoof,ADOOF,non-word,related,F
meash,MEASH,non-word,related,F
afent,AFENT,non-word,related,F
setip,SETIP,non-word,related,F
linew,LINEW,non-word,related,F
corax,CORAX,non-word,related,F
scock,SCOCK,non-word,related,F
quast,QUAST,non-word,related,F
ipept,IPEPT,non-word,related,F
gonet,GONET,non-word,related,F
lertz,LERTZ,non-word,related,F
