prime,target,condition,primetype,corrAns
levee,LOUSE,low,unrelated,J
clank,SCONE,low,unrelated,J
chafe,ARDOR,low,unrelated,J
paean,DIVVY,low,unrelated,J
scamp,CACAO,low,unrelated,J
shale,TULLE,low,unrelated,J
cilia,PROLE,low,unrelated,J
conga,NEIGH,low,unrelated,J
burro,POLYP,low,unrelated,J
rummy,REBUS,low,unrelated,J
chide,GIPSY,low,unrelated,J
scram,TIBIA,low,unrelated,J
jaunt,LICIT,low,unrelated,J
hooey,SLEET,low,unrelated,J
scald,QUALM,low,unrelated,J
blare,SWASH,low,unrelated,J
whorl,BLEEP,low,unrelated,J
trawl,KRAUT,low,unrelated,J
sumac,DUVET,low,unrelated,J
udder,TRICE,low,unrelated,J
extol,NONCE,low,unrelated,J
natty,FJORD,low,unrelated,J
pleat,JETTY,low,unrelated,J
thrum,TIPSY,low,unrelated,J
groat,IGLOO,low,unrelated,J
hyena,HYENA,low,related,J
frizz,FRIZZ,low,related,J
bidet,BIDET,low,related,J
therm,THERM,low,related,J
piton,PITON,low,related,J
phial,PHIAL,low,related,J
scowl,SCOWL,low,related,J
scion,SCION,low,related,J
sinew,SINEW,low,related,J
prawn,PRAWN,low,related,J
bleat,BLEAT,low,related,J
kebab,KEBAB,low,related,J
tawny,TAWNY,low,related,J
exude,EXUDE,low,related,J
mosey,MOSEY,low,related,J
skulk,SKULK,low,related,J
myrrh,MYRRH,low,related,J
schwa,SCHWA,low,related,J
broil,BROIL,low,related,J
bijou,BIJOU,low,related,J
adorn,ADORN,low,related,J
tiara,TIARA,low,related,J
canny,CANNY,low,related,J
lolly,LOLLY,low,related,J
atoll,ATOLL,low,related,J
smash,CHASM,mid,unrelated,J
manna,OXIDE,mid,unrelated,J
legit,VOWEL,mid,unrelated,J
blunt,CLERK,mid,unrelated,J
slope,BLEED,mid,unrelated,J
nasal,DECOR,mid,unrelated,J
forte,QUIRK,mid,unrelated,J
aloud,SPECK,mid,unrelated,J
nymph,STASH,mid,unrelated,J
crass,DITCH,mid,unrelated,J
squid,SNARE,mid,unrelated,J
swirl,BUDGE,mid,unrelated,J
grunt,SLACK,mid,unrelated,J
taunt,SEDAN,mid,unrelated,J
cigar,TALLY,mid,unrelated,J
lunge,POSIT,mid,unrelated,J
negro,FLOCK,mid,unrelated,J
exert,SCORN,mid,unrelated,J
lathe,GRAIL,mid,unrelated,J
viola,BLOAT,mid,unrelated,J
rival,TUMOR,mid,unrelated,J
dizzy,ACUTE,mid,unrelated,J
hertz,SAUNA,mid,unrelated,J
haste,ELECT,mid,unrelated,J
poppy,SPOOF,mid,unrelated,J
plush,PLUSH,mid,related,J
fiend,FIEND,mid,related,J
knelt,KNELT,mid,related,J
privy,PRIVY,mid,related,J
sigma,SIGMA,mid,related,J
parse,PARSE,mid,related,J
carte,CARTE,mid,related,J
verge,VERGE,mid,related,J
mourn,MOURN,mid,related,J
shrug,SHRUG,mid,related,J
clasp,CLASP,mid,related,J
bathe,BATHE,mid,related,J
linen,LINEN,mid,related,J
stare,STARE,mid,related,J
medic,MEDIC,mid,related,J
weave,WEAVE,mid,related,J
flint,FLINT,mid,related,J
flank,FLANK,mid,related,J
scrub,SCRUB,mid,related,J
hoist,HOIST,mid,related,J
stout,STOUT,mid,related,J
cough,COUGH,mid,related,J
annex,ANNEX,mid,related,J
plume,PLUME,mid,related,J
quart,QUART,mid,related,J
shoot,PROOF,high,unrelated,J
usual,CLEAR,high,unrelated,J
teach,AUDIO,high,unrelated,J
adult,APPLY,high,unrelated,J
allow,PHONE,high,unrelated,J
whole,CLASS,high,unrelated,J
forum,RAISE,high,unrelated,J
often,CIVIL,high,unrelated,J
issue,MATCH,high,unrelated,J
style,LOCAL,high,unrelated,J
coast,MINOR,high,unrelated,J
reach,BELOW,high,unrelated,J
smith,EXTRA,high,unrelated,J
speed,COURT,high,unrelated,J
sense,EXACT,high,unrelated,J
write,BUNCH,high,unrelated,J
trust,QUICK,high,unrelated,J
sleep,BIRTH,high,unrelated,J
reply,TRUTH,high,unrelated,J
track,SERVE,high,unrelated,J
dream,TRADE,high,unrelated,J
image,HEART,high,unrelated,J
white,INDEX,high,unrelated,J
flame,CABLE,high,unrelated,J
value,BREAK,high,unrelated,J
woman,WOMAN,high,related,J
front,FRONT,high,related,J
voice,VOICE,high,related,J
stock,STOCK,high,related,J
seven,SEVEN,high,related,J
blood,BLOOD,high,related,J
plain,PLAIN,high,related,J
among,SOLID,high,related,J
limit,LIMIT,high,related,J
apart,SCALE,high,related,J
whose,STUFF,high,related,J
magic,MAJOR,high,related,J
brown,BROWN,high,related,J
house,HOUSE,high,related,J
stage,STAGE,high,related,J
built,BUILT,high,related,J
video,VIDEO,high,related,J
early,STORY,high,related,J
march,MARCH,high,related,J
clean,CLEAN,high,related,J
price,PRICE,high,related,J
event,EVENT,high,related,J
worse,THANK,high,related,J
radio,RADIO,high,related,J
sorry,SORRY,high,related,J
letap,INURT,non-word,unrelated,F
alash,SHAWT,non-word,unrelated,F
sharf,DELAX,non-word,unrelated,F
frimp,THELP,non-word,unrelated,F
lumpo,ISAPT,non-word,unrelated,F
huilt,FOPAZ,non-word,unrelated,F
brosk,FUXOM,non-word,unrelated,F
dulch,BLOOT,non-word,unrelated,F
dealf,SCART,non-word,unrelated,F
drash,FRINT,non-word,unrelated,F
prock,AHUCK,non-word,unrelated,F
spaft,NETRO,non-word,unrelated,F
criex,MOUST,non-word,unrelated,F
phumb,BARSH,non-word,unrelated,F
denet,AVORT,non-word,unrelated,F
bluck,VENEM,non-word,unrelated,F
racet,GRACK,non-word,unrelated,F
phrap,RANTH,non-word,unrelated,F
wight,FRICK,non-word,unrelated,F
lorro,NOHEW,non-word,unrelated,F
oorph,PRAMP,non-word,unrelated,F
praph,ALTEP,non-word,unrelated,F
aboot,SCRIB,non-word,unrelated,F
hoest,TUMPH,non-word,unrelated,F
polic,DORST,non-word,unrelated,F
glunk,THINT,non-word,unrelated,F
letch,ROURT,non-word,unrelated,F
spink,SMOUT,non-word,unrelated,F
dippo,KAYUK,non-word,unrelated,F
astef,DRICK,non-word,unrelated,F
tatch,SMOOP,non-word,unrelated,F
shoop,DEIRM,non-word,unrelated,F
isloo,EPHIC,non-word,unrelated,F
scack,GLURP,non-word,unrelated,F
bliff,BLUMB,non-word,unrelated,F
cempo,EICHT,non-word,unrelated,F
glaim,FORIM,non-word,unrelated,F
thunt,SLENT,non-word,unrelated,F
plesh,LEPOT,non-word,unrelated,F
thoop,PLOCK,non-word,unrelated,F
louth,OCHEB,non-word,unrelated,F
preak,FEBUT,non-word,unrelated,F
creck,COREB,non-word,unrelated,F
realp,FRATH,non-word,unrelated,F
ferit,EGGEM,non-word,unrelated,F
theep,GREDO,non-word,unrelated,F
murch,BROST,non-word,unrelated,F
blomp,GANIC,non-word,unrelated,F
sloup,POLEP,non-word,unrelated,F
strit,SNOCK,non-word,unrelated,F
skinp,FOMIT,non-word,unrelated,F
phock,SHOLF,non-word,unrelated,F
cyrrh,RACEF,non-word,unrelated,F
ahack,THAMP,non-word,unrelated,F
saist,PURSO,non-word,unrelated,F
pheep,GLARM,non-word,unrelated,F
